superpixel	correction
335	1.2836853
336	1.9972305
337	1.9614054
338	1.7411628
339	1.5586836
340	1.5129902
341	1.5360097
342	1.4642898
343	1.4786412
344	1.8714515
345	2.299189
346	1.913315
347	1.9617593
348	1.5831573
349	1.7738196
350	1.5367194
351	1.7338723
352	1.0030596
353	1.0247612
354	1.1628357
355	1.1396409
356	1.5147549
357	1.2017117
358	1.7068951
359	1.1737683
360	0.9640953
361	0.93008417
362	0.88826007
363	1.0345805
364	0.9114638
365	0.98029655
366	0.97954506
367	0.9606233
368	0.72280467
369	0.7179239
370	0.8577615
371	0.8324573
372	0.92756146
373	0.87891513
374	0.83979356
375	0.8976598
376	0.9451226
377	0.90508986
378	0.82567275
379	0.9529969
380	1.0547037
381	1.1140906
382	1.0024201
383	1.0233722
384	1.1164762
385	1.0823443
386	1.1777179
387	1.1052586
388	1.2086798
389	1.1484727
390	1.226846
391	1.1737237
392	0.9383649
393	0.82598275
394	0.83783585
395	0.9932381
396	1.022525
397	0.9223518
398	1.0388768
399	0.96683455
400	1.4343796
401	1.2507142
402	1.2920376
403	1.176279
404	1.2298226
405	1.2270181
406	1.1365932
407	1.1993735
408	1.4250203
409	1.5216038
410	1.4151803
411	1.4614029
412	1.3359147
413	1.3435265
414	1.2961066
415	1.5514504
416	1.524208
417	1.5993491
418	1.5114845
419	1.5049796
420	1.5965768
421	1.5510199
422	1.7712747
423	1.7044306
424	1.5116774
425	1.2709578
426	1.5796592
427	1.3191116
428	1.5915014
429	1.3968372
430	1.8049282
431	1.6758676
432	2.1618114
433	2.0051801
434	1.9841263
435	1.928191
436	1.7491302
437	1.995468
438	1.6852697
439	1.8484104
440	2.2278612
441	3.8601928
442	2.5875566
443	2.411582
444	2.0311344
445	2.0866137
446	1.9308548
447	1.871277
448	0.9973159
449	0.96827203
450	1.0134982
451	0.9244661
452	1.1395506
453	10.636899
454	1.2378633
455	1.1384225
456	1.0203942
457	0.7123397
458	1.1281389
459	1.0429875
460	1.3207824
461	1.204625
462	1.3333305
463	1.1689651
464	1.257906
465	1.3398814
466	1.357867
467	1.7946193
468	1.8805094
469	1.4793152
470	1.5400823
471	1.4196775
472	1.2540299
473	1.2125543
474	1.2088723
475	1.1806161
476	1.2862449
477	1.2566255
478	1.3457274
479	1.3248124
480	1.6999533
481	1.5670214
482	1.6043082
483	1.5909292
484	1.5196159
485	1.6117864
486	1.5356053
487	1.5268099
488	1.7332901
489	2.6930764
490	1.8276962
491	1.935879
492	1.816331
493	1.730942
494	1.6058319
495	1.5694041
496	1.6326879
497	1.6060497
498	1.7457999
499	1.6837261
500	2.403977
501	2.0463445
502	3.5399196
503	2.368555
504	1.7864157
505	1.6018635
506	1.7594212
507	1.8054385
508	2.123917
509	1.7962694
510	2.2096379
511	1.8691223
